harry also becomes the worthy possessor of the remaining deathly hallows : the invisibility cloak and the resurrection stone , hence becoming the true master of death .	possessor	keeper	owner	holder	controller	master	user	lover	bearer	assessor	receiver
escapologists escape from handcuffs , straitjackets , cages , coffins , steel boxes , barrels , bags , burning buildings , fish-tanks and other perils , often in combination .	perils	hazards	risks	problems	dangers	threats	pitfalls	danger	accidents	damages	dangerous
the storm continued , crossing the outer banks of north carolina , and retained its strength until june 20 when it became extratropical near newfoundland .	retained	maintained	held	contained	stored	remained	stayed	kept	hold	had	remains
the united states convened a 13-nation conference of the international opium commission in 1909 in shanghai , china in response to increasing criticism of the opium trade .	convened	held	organized	hosted	arranged	gathered	had	organised	led	planned	sponsored
dodd simply retained his athletic director position , which he had acquired in 1950 .	acquired	gained	earned	learned	bought	became	obtained	found	got	inherited	arrived
radiometric dating is a technique used to date materials , usually based on a comparison between the observed abundance of a naturally occurring radioactive isotope and its decay products , using known decay rates .	abundance	number	amount	availability	proportion	supply	concentration	price	level	presence	content
bacterial contaminants are ubiquitous , and foods left unused too long will often acquire substantial amounts of bacterial colonies and become dangerous to eat , leading to food poisoning .	substantial	significant	considerable	large	important	great	high	very	big	vast	ample
tibooburra has an arid , desert climate with temperatures soaring above 40 celsius in summer , often reaching as high as 47 c .	arid	dry	hot	desert	severe	wet	dense	drought	humid	warm	dark
hanna meandered around the southeastern bahamas , weakening to a tropical storm while also dumping heavy rain on already-devastated haiti .	meandered	moved	passed	ran	traveled	meanderered	flew	fled	slid	meanders	broke off
das rheingold is the first of the four operas that comprise der ring des nibelungen , by richard wagner .	comprise	include	consist	represent	come together	compose	comprimise	contains	combine		composed
published by tor books , it was released on august 15 , 1994 in hardcover , and in paperback on july 15 , 1997 .	released	published	sold	launched	publicized	delivered	issued	unveiled	put out	made available	made public
by 1960 he had developed the short story into a screenplay , and envisaged it as containing a suitable role for monroe .	envisaged	envisioned	planned	saw	expected	hoped	thought	seemed	had	pictured	planted
with poor sales of the a340-200 , airbus decided to use the fuselage of the a340-200 with the wings and engines of the a330-300 .	fuselage	frame	body	wings	structure	section	plane	deck	shell	hull	wing
the last event was held on june 11 , 2000 , not to be held again due to the acquisition of wcw by world wrestling federation .	acquisition	purchase	transfer	buying	purchasing	takeover	supplementation	obtention	removal	expansion	conversion
kowal suggested the name and the iau endorsed it in 1975 .	endorsed	approved	accepted	supported	adopted	recommended	backed	loved	liked	affirmed	support
dry air wrapping around the southern periphery of the cyclone eroded most of the deep convection by early on september 12 .	periphery	corner	end	edge	center	front	centre	outskirts	side	corners	extreme
alfonso drops the marriage contract in front of the officers , and , when they read it , they become enraged .	enraged	outraged	furious	irritated	disappointed	worried	angry	raged	annoyed	agitated	angerd
located on the river pedieos and situated almost in the center of the island , it is the seat of government as well as the main business center .	situated	located	placed	positioned	inside	set	almost	near	placing	close	right
it has now been determined that europa is a prograde rotator , but the exact direction in which its pole points remains ambiguous .	ambiguous	confused	confusing	uncertain	unclear	not clear	fuzzy	undetermined	unknown	incomplete	inconclusive
the bishops ceded the oversticht to the emperor charles v in 1528 , who styled himself " lord of overijssel " , thereby giving the province its modern name .	ceded	given	transferred	signed	granted	gave	entrusted	delivered	leased	consigned	issued
many parts of odessa were damaged during its siege and recapture on 10 april 1944 , when the city was finally liberated by the red army .	siege	occupation	blockade	war	attack	control	capture	conquest	invasion	battle	blockage
the city was first founded by the british in 1827 , who leased the island from spain during the colonial period .	leased	rented	bought	purchased	borrowed	hired	loaned	rent	sold	owned	lent
in reference to the landscape , bush describes a wooded area , intermediate between a shrubland and a forest , generally of dry and nitrogen-poor soil , mostly grassless , thin to thick woody shrubs and bushes , under a sparse canapy of eucalypts .	sparse	limited	small	bare	very	partial	light	weak	thin	tiny	tight
they locate food by smell , using sensors in the tip of their snout , and regularly feast on ants and termites .	snout	nose	mouth	noses	head	mouths	neck	ears	tail	face	fur
at present it is formed by the aa , which descends from the rigi and enters the southern extremity of the lake .	extremity	end	extreme	edge	limit	corner	point	most	side	front	extend
specialized english operates in the civil society sector , and the developers aspire to make programs for a variety of public service purposes , subject to resources being available .	aspire	aim	want	seek	plan	hope	wish	desire	try	intend	spire
this period spanned the years from 1278 through 1288 .	spanned	covered	lasted	covers	spread	bounded	counted	continued	ran	extended	went on
realising that the gang could not elude the police forever , moondyne joe formulated a plan to escape the colony by traveling overland to the colony of south australia .	elude	evade	hide	avoid	get away	escape	flee	run away	survive	defend	defy
southeastern oklahoma , also known by its official tourism designation , kiamichi country , encompasses the southeastern quarter of the state of oklahoma .	encompasses	covers	includes	comprises	represents	comprised	encloses	contains	commemorates	consists	encircles
in 2001 , unesco inscribed the 2,750-year-old city on the world heritage list as samarkand - crossroads of cultures .	inscribed	listed	named	placed	added	marked	put	signed	described	enrolled	inscription
to enjoy qin songs , one must learn to become accustomed to the eccentric style some players may sing their songs to , like in the case of zha fuxi .	eccentric	unusual	absurd	unique	strange	different	interesting	wacky	exotic	extraordinary	outrageous
as a result of this acquisition and the legal dispute with hearst corporation , mandrakesoft announced that the new company name would be mandriva , and that mandriva linux would be the new name covering products .	dispute	fight	discussion	controversy	argument	problem	conflict	confrontation	war	issue	squabble
