In March 1992 , Linux version 0.95 was the first to be capable of running X. This large version number jump was due to a feeling that a version 1.0 with no major missing pieces was imminent .	pieces	parts	things	features	components	bits	elements	details	points	objects	items
Much of the water carried by these streams is diverted .	diverted	redirected	directed	rerouted	routed	transferred	recycled	converted	returned	moved	used
Harry also becomes the worthy possessor of the remaining Deathly Hallows : the Invisibility Cloak and the Resurrection Stone , hence becoming the true Master of Death .	possessor	owner	holder	keeper	controller	master	user	inhabitant	bearer	member	assessor
Escapologists escape from handcuffs , straitjackets , cages , coffins , steel boxes , barrels , bags , burning buildings , fish-tanks and other perils , often in combination .	perils	hazards	risks	problems	dangers	danger	accidents	pitfalls	damages	dangerous	threats
The storm continued , crossing the Outer Banks of North Carolina , and retained its strength until June 20 when it became extratropical near Newfoundland .	retained	maintained	held	remained	stored	contained	stayed	hold	kept	continued	had
The Convent has been the official residence of the Governor of Gibraltar since 1728 .	residence	home	house	place	office	room	base	apartment	stay	quarters	household
Food is procured with its suckers and then crushed using its tough " beak " of chitin .	procured	made	prepared	produced	created	cured	gathered	grown	cooked	selected	caught
The United States convened a 13-nation conference of the International Opium Commission in 1909 in Shanghai , China in response to increasing criticism of the opium trade .	convened	held	organized	hosted	arranged	organised	gathered	had	led	sponsored	called
Photosynthesis is vital for life on Earth .	vital	essential	crucial	important	critical	very important	necessary	required	useful	elementary	key
Dodd simply retained his athletic director position , which he had acquired in 1950 .	acquired	gained	earned	learned	bought	became	obtained	found	got	won	arrived
Radiometric dating is a technique used to date materials , usually based on a comparison between the observed abundance of a naturally occurring radioactive isotope and its decay products , using known decay rates .	abundance	number	amount	availability	concentration	proportion	supply	price	level	presence	consistency
Bacterial contaminants are ubiquitous , and foods left unused too long will often acquire substantial amounts of bacterial colonies and become dangerous to eat , leading to food poisoning .	substantial	significant	considerable	large	important	great	high	massive	vast	very	big
Tibooburra has an arid , desert climate with temperatures soaring above 40 Celsius in summer , often reaching as high as 47 C .	arid	dry	desert	hot	dense	wet	severe	humid	drought	dark	warm
Hanna meandered around the southeastern Bahamas , weakening to a tropical storm while also dumping heavy rain on already-devastated Haiti .	meandered	traveled	moved	passed	ran	meanderered	fled	slid	flew	hung	sailed
With the high Gulf pressures - a ship reported a pressure of 1015.5 millibars less than 60 m from the storm center at the time it was upgraded to a tropical storm - Alicia was unable to gain size , staying very small , but generated faster winds , and became a Category 1 hurricane on August 16	generated	created	produced	caused	produce	made	brought	gave
Das Rheingold is the first of the four operas that comprise Der Ring des Nibelungen , by Richard Wagner .	comprise	include	combine	come together	represent	compose	consist	enclose	comprised	comprehensive	compris
A frenulum is a small fold of tissue that secures or restricts the motion of a mobile organ in the body .	secures	holds	binds	fixes	locks	restricts	ties	protects	keeps	bounds	straps
Helen Hunt has been recognized extensively in her career . In 1998 she become the second actress to win a Golden Globe Award , an Academy Award and an Emmy Award in the same year .	career	life	careers	profession	work	lifetime	professional	story	professional life	reputation	role
